N,P,K,temperature,humidity,ph,rainfall,soil_moisture,sunlight_hours,farm_size,label,yield
74.9816047538945,39.260714596148745,30.979909127171076,19.782560294561478,62.94298328036162,6.087125418252299,91.97056874649611,29.602935593757685,7.8033450352296265,86.01906786195178,Barley,3.454
67.27299868828402,27.751067647801506,24.563633644393065,18.82183361121909,69.14042648356525,6.647917527963173,57.47374841188251,16.98508222471026,6.876433945605655,44.604512774955865,Barley,2.991
78.24279936868143,36.777639420895206,22.995106732375397,18.685047699376952,62.837627333845774,6.911317277852158,50.23144742123749,24.63394505494513,6.195154778955839,115.20504467836831,Barley,3.089
87.36932106048627,31.60228740609402,21.83057352267168,18.437299831446513,64.75015777092591,6.051582781672828,94.55922412472692,38.53577117177494,6.935133228268233,63.23334801030197,Barley,3.478
81.86841117373119,27.772816832882906,34.54376941646838,22.07672670369449,65.10803675406127,6.132738753077879,51.75897174514871,25.400385461584342,6.135681866731614,39.63158782874689,Barley,2.783
93.14950036607718,30.351299900403838,24.21401764531071,19.05504908105723,61.19285621994018,6.211386337462144,88.13181884524238,25.349775635560178,6.016566351370807,99.03434956744046,Barley,3.635
88.27429375390469,35.93510752061481,31.569055200289185,12.962580472543175,70.22456610459508,7.29465513881339,77.39788760965348,26.303687587570558,6.992694074557948,7.905425870460408,Barley,3.032
89.18424713352256,34.563362070328196,33.3081911386449,18.13879402710534,59.800689812147425,6.179391368907453,82.7946872333797,32.667958776174665,8.312901539863683,60.04919054949253,Barley,4.299
80.90931317527976,31.413115275378246,20.381286901161427,13.402588550912958,75.07814072796829,6.47153397161449,70.51424146988217,25.110578505510496,8.722699421778279,30.415944800716606,Barley,3.683
69.15192661966489,26.154698647431896,24.34627179370652,14.095876734302058,70.33697591547482,7.39454647851386,88.48722277386501,38.15418412196196,8.411016230697344,22.81416202585211,Barley,3.638
95.70235993959912,33.09013362873476,32.111602327460936,23.649186899005414,53.948982398327225,6.341902743812913,65.62646731757538,23.976196774916996,8.45404429776748,104.52086701032734,Barley,3.462
76.69644012595116,28.331617157060954,21.797980510005242,16.388997228247163,68.37008163455366,7.4143645558687785,59.39217592124531,40.532482750655596,7.0908888071378815,117.98005332699017,Barley,3.712
98.49789179768445,28.776734437380462,27.45872758838578,15.911418027618005,70.90311241545736,6.077218126874984,56.71878785419669,44.65386057658538,8.72479765789996,29.236650156488526,Barley,4.074
99.42601816442402,28.630829072672505,30.08203321108818,21.901054999273327,53.94624377544548,6.356456315988599,83.69298091671158,41.16549910169464,7.9005891322826844,65.13695942808735,Barley,3.593
63.61159080217633,37.52953743383857,24.811700974576038,14.424740635198106,73.51832317420887,7.016346542763424,40.99526973567137,18.00835582923177,7.536279174897842,27.65306701370713,Barley,2.53
87.63750952409865,30.801030194508062,34.050949831051014,13.787772273897913,76.78111894557443,6.511599526575388,46.80841127443534,29.620806493482423,8.451666600603648,67.49136140398815,Barley,3.144
81.18602313424026,28.627784363506777,21.396541517088487,23.66380485339325,59.69720900006135,6.508544686573051,60.95257447675965,31.986541210655457,8.177867036610717,108.93000015265446,Barley,3.487
85.68126584617151,26.262099474925733,22.424430711419205,23.68120445085203,60.18876213561861,6.909643589489384,40.55182309699778,24.298621100648297,6.015184751538656,19.691865973282578,Barley,2.818
81.94935157466344,35.3784279653904,29.779418892539006,14.915501022987277,66.28710834185642,6.488099547238901,84.78948430708145,36.44287762754729,7.948898697141644,103.12622413805023,Barley,4.003
63.7469907131237,30.515737045891502,23.978035515225884,15.171865363928086,83.10577331363874,7.459515832128668,63.58586348000563,28.43313074278934,8.384433910624946,61.12075961903515,Barley,3.474
83.07615538505436,32.387765407282956,22.928644816970667,21.39187749839957,55.34764101419401,7.410687876529371,97.23571462015525,36.31083758493719,8.744593170661346,45.06468310594928,Barley,3.896
98.54479908357011,37.7951418320104,24.416733381043784,17.00627047182503,68.35299376913872,7.276705007275286,59.01532030937666,27.085957417741014,8.808464322482344,84.55951048847437,Barley,3.295
82.8024468035746,26.457647406561527,29.225108400487546,24.87070005135542,56.55613222850733,7.316059607891933,84.44611706525227,20.938851888698025,8.091047222985804,85.34175526584447,Barley,2.73
92.37444621914054,37.15170092018771,33.006084778701556,23.872127183234127,52.17764626733465,6.767013598291407,70.09097768123198,31.991379211699403,8.10590063177311,96.65054121251575,Barley,4.031
95.60021367270265,30.069927352773036,25.63374428959916,13.221765217931297,71.93299436433531,6.69839702719869,72.5586780824546,28.536229797026618,6.859623756384853,71.80993226446479,Barley,3.302
